start_time	stop_time	records	partitions	t1	t2	total_seconds	rows_per_second
1	2022-06-21 17:43:37.897	2022-06-21 17:43:47.401	1000000	1	2022-06-21 17:43:37.897	2022-06-21 17:43:47.401	9.504	105219
2	2022-06-21 17:47:42.901	2022-06-21 17:47:47.194	1000000	3	2022-06-21 17:47:42.901	2022-06-21 17:47:47.194	4.293	232937
3	2022-06-21 17:48:52.115	2022-06-21 17:48:55.118	1000000	5	2022-06-21 17:48:52.115	2022-06-21 17:48:55.118	3.003	333000
4	2022-06-21 17:49:54.568	2022-06-21 17:49:56.609	1000000	10	2022-06-21 17:49:54.568	2022-06-21 17:49:56.609	2.041	489956
5	2022-06-21 17:51:32.717	2022-06-21 17:52:00.585	3000000	1	2022-06-21 17:51:32.717	2022-06-21 17:52:00.585	27.868	107650
6	2022-06-21 17:54:05.490	2022-06-21 17:54:18.025	3000000	3	2022-06-21 17:54:05.490	2022-06-21 17:54:18.025	12.535	239330
7	2022-06-21 17:55:35.585	2022-06-21 17:55:43.844	3000000	5	2022-06-21 17:55:35.585	2022-06-21 17:55:43.844	8.259	363240
8	2022-06-21 17:56:54.153	2022-06-21 17:56:59.387	3000000	10	2022-06-21 17:56:54.153	2022-06-21 17:56:59.387	5.234	573175
9	2022-06-21 18:00:57.023	2022-06-21 18:01:43.182	5000000	1	2022-06-21 18:00:57.023	2022-06-21 18:01:43.182	46.159	108321
10	2022-06-21 18:06:23.837	2022-06-21 18:06:44.115	5000000	3	2022-06-21 18:06:23.837	2022-06-21 18:06:44.115	20.278	246573
11	2022-06-21 18:08:53.107	2022-06-21 18:09:06.840	5000000	5	2022-06-21 18:08:53.107	2022-06-21 18:09:06.840	13.733	364087
12	2022-06-21 18:13:10.664	2022-06-21 18:13:19.274	5000000	10	2022-06-21 18:13:10.664	2022-06-21 18:13:19.274	8.61	580720
13	2022-06-21 18:16:22.986	2022-06-21 18:17:03.170	10000000	3	2022-06-21 18:16:22.986	2022-06-21 18:17:03.170	40.184	248855
14	2022-06-21 18:18:57.334	2022-06-21 18:19:24.150	10000000	5	2022-06-21 18:18:57.334	2022-06-21 18:19:24.150	26.816	372912
15	2022-06-21 18:23:31.087	2022-06-21 18:23:48.851	10000000	10	2022-06-21 18:23:31.087	2022-06-21 18:23:48.851	17.764	562936
16	2022-06-21 18:30:35.686	2022-06-21 18:31:15.444	15000000	5	2022-06-21 18:30:35.686	2022-06-21 18:31:15.444	39.758	377283
17	2022-06-21 18:33:13.990	2022-06-21 18:33:41.669	15000000	10	2022-06-21 18:33:13.990	2022-06-21 18:33:41.669	27.679	541927
18	2022-06-21 18:37:56.434	2022-06-21 18:41:09.436	20000000	1	2022-06-21 18:37:56.434	2022-06-21 18:41:09.436	193.002	103626
19	2022-06-21 18:43:44.367	2022-06-21 18:44:20.244	20000000	10	2022-06-21 18:43:44.367	2022-06-21 18:44:20.244	35.877	557460
